"product_id","product_name","stock","product_code","ean","sku","category","our_price_brutto","tax","weight","description0","description1","description2","description3","description4","image0","image1","image2","image3","image4","image5","image6","image7","image8","image9","image10","image11","image12","image13","image14","image15","producer","color","width","height","wasModified","wasImported","exception",
"188595", "188L595 KREDKA AKWARELOWA A.DURER 176 FABER", "18", "117676 FC", "4005401176763", "188L595", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 176", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13061/30704_M0.png", "http://zasoby.amexb2x.com/zdjecia/13061/30705_M0.png", "http://zasoby.amexb2x.com/zdjecia/13061/30706_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188597", "188L597 KREDKA AKWARELOWA A.DURER 178 FABER", "6", "117678 FC", "4005401176787", "188L597", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 178", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13063/30710_M0.png", "http://zasoby.amexb2x.com/zdjecia/13063/30711_M0.png", "http://zasoby.amexb2x.com/zdjecia/13063/30712_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188598", "188L598 KREDKA AKWARELOWA A.DURER 179 FABER", "30", "117679 FC", "4005401176794", "188L598", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 179", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13064/30713_M0.png", "http://zasoby.amexb2x.com/zdjecia/13064/30714_M0.png", "http://zasoby.amexb2x.com/zdjecia/13064/30715_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188599", "188L599 KREDKA AKWARELOWA A.DURER 180 FABER", "12", "117680 FC", "4005401176800", "188L599", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 180", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13068/30719_M0.png", "http://zasoby.amexb2x.com/zdjecia/13068/30720_M0.png", "http://zasoby.amexb2x.com/zdjecia/13068/30721_M0.png", "http://zasoby.amexb2x.com/zdjecia/13068/38688_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188600", "188L600 KREDKA AKWARELOWA A.DURER 181 FABER", "24", "117681 FC", "4005401176817", "188L600", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 181", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13069/30724_M0.png", "http://zasoby.amexb2x.com/zdjecia/13069/30725_M0.png", "http://zasoby.amexb2x.com/zdjecia/13069/30726_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188601", "188L601 KREDKA AKWARELOWA A.DURER 182 FABER", "6", "117682 FC", "4005401176824", "188L601", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 182", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/10702/29872_M0.png", "http://zasoby.amexb2x.com/zdjecia/10702/29873_M0.png", "http://zasoby.amexb2x.com/zdjecia/10702/38599_M0.png", "http://zasoby.amexb2x.com/zdjecia/10702/38600_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188602", "188L602 KREDKA AKWARELOWA A.DURER 183 FABER", "30", "117683 FC", "4005401176831", "188L602", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 183", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13070/30727_M0.png", "http://zasoby.amexb2x.com/zdjecia/13070/30728_M0.png", "http://zasoby.amexb2x.com/zdjecia/13070/30729_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188603", "188L603 KREDKA AKWARELOWA A.DURER 184 FABER", "12", "117684 FC", "4005401176848", "188L603", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 184", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13071/30731_M0.png", "http://zasoby.amexb2x.com/zdjecia/13071/30732_M0.png", "http://zasoby.amexb2x.com/zdjecia/13071/30733_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188604", "188L604 KREDKA AKWARELOWA A.DURER 185 FABER", "12", "117685 FC", "4005401176855", "188L604", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 185", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13072/30734_M0.png", "http://zasoby.amexb2x.com/zdjecia/13072/30735_M0.png", "http://zasoby.amexb2x.com/zdjecia/13072/30736_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
"188605", "188L605 KREDKA AKWARELOWA A.DURER 186 FABER", "6", "117686 FC", "4005401176862", "188L605", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "4.97", "23", "0.00", "- kredki akwarelowe najwyższej jakości odpowiednie<br><br>Dla artystów<br><br>- grubość grafitu 3,8 mm<br><br>- wysokiej jakości pigmenty zapewniają odporność<br><br>Na blaknięcie i wyraźne kolory<br><br>- kredka w kolorze nr 186", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/13073/30739_M0.png", "http://zasoby.amexb2x.com/zdjecia/13073/30740_M0.png", "http://zasoby.amexb2x.com/zdjecia/13073/30741_M0.png", "", "", "", "", "", "", "", "", "", "", "", "", "", "FABER-CASTELL", "", "", "", "0", "0", "0"
