"product_id","product_name","stock","product_code","ean","sku","category","our_price_brutto","tax","weight","description0","description1","description2","description3","description4","image0","image1","image2","image3","image4","image5","image6","image7","image8","image9","image10","image11","image12","image13","image14","image15","producer","color","width","height","wasModified","wasImported","exception",
"192965", "192L965 NOŻYCZKI 12 CM Z PLASTIKOWYM OSTRZEM", "500", "L439", "5902884160588", "192L965", "Artykuły szkolne > Artykuły plastyczne > Nożyczki", "1.6", "23", "0.00", "Nożyczki dla dzieci wykonane w całości wraz z ostrzem z plastiku, doskonałe dla dzieci ze względu na bezpieczeństwo użytkowania, idealne do pierwszych papierowych wycinanek. Długość całkowita to 12 cm. Dostępne jako mix kolorów. Każda sztuka zapakowana na kartoniku try-me z zawieszką.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/14901/8979_M0.jpg", "http://zasoby.amexb2x.com/zdjecia/14901/8980_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "LAMBO SCHOOL", "", "", "", "0", "0", "0"
"192966", "192L966 PIÓRO WIECZNE", "500", "L441", "5907377375975", "192L966", "Artykuły piśmiennicze > Pióra wieczne", "2.16", "23", "0.00", "Pióro w jasne kolory, z wzorem zaprojektowanym dla uczniów. Cienka linia pisma.  Wykorzystuje standardowe naboje.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/8038/5360_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "LAMBO SCHOOL", "", "", "", "0", "0", "0"
"192972", "192L972 WKŁAD DO DŁUGOPISÓW PROFICE POPUL. X", "58", "LAK1065/C", "6934369640802", "192L972", "Artykuły piśmiennicze > Atramenty i wkłady > Wkłady do długopisów", "3.08", "23", "0.00", "Pakowane po 20 sztuk. Wkłady plastikowe. Długość linii: >800 m. Grubość linii pisania: 0,7 mm.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/2457/3717_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "PROFICE", "", "", "", "0", "0", "0"
"192973", "192L973 WKŁAD DO DŁUGOPISÓW PROFICE METALOWY", "500", "LAK616A/NIEB", "6934369640840", "192L973", "Artykuły piśmiennicze > Atramenty i wkłady > Wkłady do długopisów", "15.14", "23", "0.00", "Wkłady o długości odpowiednio 95mm. Długość linii: >800 m. Grubość linii pisania: 0,7 mm.  Pakowane po 18 sztuk w etui.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/3790/3859_M0.jpg", "http://zasoby.amexb2x.com/zdjecia/3790/3860_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "PROFICE", "", "", "", "0", "0", "0"
"192975", "192L975 ZESTAW GEOMETRYCZNY COMPASSI 4 ELEM. Z", "500", "LC620", "5902884161523", "192L975", "Artykuły szkolne > Artykuły techniczne i kreślarskie > Temperówka i strugaczka", "1.22", "23", "0.00", "Szkolny, geometryczny zestaw kreślarski w przezroczystym etui z zawieszką. Zestaw zawiera kątomierz 180 stopni, dwie ekierki oraz linijkę o długości 15 cm.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/15232/9069_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "COMPASSI", "", "", "", "0", "0", "0"
"192977", "192L977 CYRKIEL COMPASSI METALOWY ZESTAW 4 ELEM.", "500", "LC710", "5907377371212", "192L977", "Artykuły szkolne > Artykuły techniczne i kreślarskie > Cyrkiel", "7.56", "23", "0.00", "Zestaw 4-elementowy bazowany na<br>Metalowym cyrklu z regulacją kąta<br>Nachylenia grafitu. Solidny mechanizm regulacji promienia rysowanych okręgów, zapobiega efektowi „elipsy” przy mocniejszym przyciśnięciu<br>Cyrkla do papieru. Łatwy w obsłudze system wymiany grafitów. Maksymalna średnica rysowanych okręgów to 36cm. W zestawie pakiet zapasowych grafitów w plastikowym pojemniczku z zatyczką, końcówka do tuszu, uchwyt grafionu. Idealny do zastosowań szkolnych na lekcjach matematyki, techniki i plastyki.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/6695/4964_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "COMPASSI", "", "", "", "0", "0", "0"
"192978", "192L978 CYRKIEL COMPASSI METALOWY ZESTAW 5 ELEM.", "500", "LC720", "5907377371175", "192L978", "Artykuły szkolne > Artykuły techniczne i kreślarskie > Cyrkiel", "7.56", "23", "0.00", "Zestaw 5-elementowy bazowany na metalowym cyrklu z regulacją kąta nachylenia grafitu. Solidny mechanizm regulacji promienia rysowanych okręgów, zapobiega efektowi „elipsy” przy mocniejszym przyciśnięciu cyrkla do papieru. Łatwy w obsłudze system wymiany grafitów. Maksymalna średnica rysowanych okręgów to 36cm. Idealny do zastosowań szkolnych na<br>Lekcjach matematyki, techniki i plastyki.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/6690/4957_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "COMPASSI", "", "", "", "0", "0", "0"
"192983", "192L983 KREDKI OŁÓWKOWE GRUBE 12 KOL.", "500", "LD324K12 GC", "5908219706384", "192L983", "Artykuły szkolne > Artykuły plastyczne > Kredki i pastele", "5.4", "23", "0.00", "Sześciokątne kredki ołówkowe w rozmiarze jumbo. Zapewniają pewne utrzymanie w dłoni i ułatwiają rysowanie. Drewniana obudowa z lakierem zgodnym z kolorem grafitu. Wszystkie kredki są oryginalnie zatemperowane i gotowe do użycia. Dostępne w 12 wyrazistych kolorach. Pakowane w kolorowe kartoniki z okienkiem i zawieszką. 2 wzory opakowań – czerwono-czarny i różowo-fioletowy.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/5308/41556_M0.jpg", "http://zasoby.amexb2x.com/zdjecia/5308/41557_M0.jpg", "http://zasoby.amexb2x.com/zdjecia/5308/41558_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "GOLD CAT", "", "", "", "0", "0", "0"
"193015", "193L015 PINEZKI MEMOBOARDS BECZUŁKI 14 SZT.", "500", "MB12B14", "5907377371250", "193L015", "Artykuły biurowe > Pinezki", "1.03", "23", "0.00", "Pinezki beczułki do tablic korkowych i filcowych Memoboards. Kolory: czerwony, niebieski i biały. Pinezki na blistrze w ilości 14 szt. Dzięki skróconej szpilce do 7 mm, pinezki nie przebijają tablicy i nie rysują ściany.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/6553/4944_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "MEMOBOARDS", "", "", "", "0", "0", "0"
"193017", "193L017 PINEZKI MEMOBOARDS BECZUŁKI 50 SZT.", "500", "MB12K50", "5902884161301", "193L017", "Artykuły biurowe > Pinezki", "2.23", "23", "0.00", "Pinezki beczułki do tablic korkowych i filcowych Memoboards. Kolory: czerwony, niebieski, zielony i biały. Pinezki w kasetce z euro zawieszką w ilości 50 szt. Dzięki skróconej szpilce do 7 mm, pinezki nie przebijają tablicy i nie rysują ściany.", "", "", "", "", "http://zasoby.amexb2x.com/zdjecia/14911/8994_M0.jpg", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "MEMOBOARDS", "", "", "", "0", "0", "0"
